,sur_place,livraison,semaine,jour,year,month,date,time,icon,precipintensity,temperature,humidity,pressure,vrai,predict
3423,,,4,4,2017,9,28,1506621600,cloudy,0.0,19.96,0.54,1023.5,-12.0,-4.176222222222221
2343,Livraison,Deliveroo,4,3,2017,6,15,1497535200,partly-cloudy-day,0.0,31.74,0.42,1015.95,26.0,21.292222222222225
13648,À emporter,,5,2,2019,6,28,1561716000,partly-cloudy-day,0.0,31.27,0.56,1018.1,0.0,-0.06
8904,Livraison,Deliveroo,4,4,2018,8,23,1535047200,partly-cloudy-day,0.07,26.71,0.54,1013.84,0.0,0.0
10975,Livraison,Deliveroo,7,3,2018,12,30,1546182000,cloudy,0.0,6.03,0.78,1034.08,0.0,0.0
7886,Livraison,UberEats,6,4,2018,6,30,1530381600,clear-day,,32.28,0.29,,0.0,0.0
13714,À emporter,,2,3,2019,7,2,1562076000,partly-cloudy-day,0.34,29.05,0.42,1016.81,0.0,-0.035
1978,Livraison,KM LIVRAISON,5,2,2017,5,19,1495188000,partly-cloudy-day,0.0,12.45,0.76,1019.1,6.0,8.691325396825397
4556,Livraison,KM,2,4,2017,12,26,1514314800,partly-cloudy-night,0.0,6.77,0.75,1006.03,0.0,-6.345476190476192
10193,Sur place,,5,2,2018,11,9,1541761200,cloudy,0.29,16.6,0.65,1015.14,0.0,0.0
13595,À emporter,,1,2,2019,6,24,1561370400,partly-cloudy-day,0.0,28.17,0.46,1016.86,0.0,-0.10066666666666667
12146,Limonade,,3,3,2019,3,20,1553094000,clear-day,0.0,14.22,0.29,1028.87,0.0,-0.04333333333333333
11265,Limonade,,7,4,2019,1,20,1548010800,cloudy,0.05,6.18,0.76,1015.84,0.0,0.0
13292,À emporter,,2,2,2019,6,4,1559642400,clear-day,0.0,26.27,0.28,1009.93,0.0,-0.1285238095238095
6293,Limonade,,4,2,2018,4,5,1522922400,partly-cloudy-day,0.0,13.33,0.56,1019.35,0.0,0.0
12821,Limonade,,6,1,2019,5,4,1556956800,partly-cloudy-day,0.03,11.87,0.69,1010.63,0.0,0.0
13356,Sur place,,6,2,2019,6,8,1559988000,clear-day,0.0,19.92,0.34,1024.86,0.0,0.0
865,À emporter,,6,3,2017,3,4,1488639600,rain,0.22,7.82,0.79,998.58,2.0,0.2155
4918,À emporter,,6,2,2018,1,20,1516446000,rain,0.47,5.14,0.83,1013.89,0.0,0.0
8439,Livraison,KM,2,3,2018,7,31,1533045600,clear-day,0.0,34.22,0.36,1016.11,0.0,0.0
737,À emporter,,5,2,2017,2,24,1487934000,partly-cloudy-day,0.0,9.62,0.57,1016.83,8.0,11.142238095238094
484,Livraison,UberEats,2,2,2017,2,7,1486465200,rain,0.2,6.57,0.83,1018.24,1.0,4.053166666666667
1373,Livraison,KM LIVRAISON,5,2,2017,4,7,1491559200,partly-cloudy-day,0.0,12.74,0.55,1024.7,7.0,10.950095238095237
8247,Limonade,,5,3,2018,7,20,1532095200,partly-cloudy-day,0.51,30.44,0.39,1013.12,0.0,0.0
4593,Limonade,,5,4,2017,12,29,1514574000,cloudy,0.0,4.12,0.69,1014.8,0.0,0.0
6646,À emporter,KM,3,4,2018,4,25,1524679200,partly-cloudy-day,0.0,18.18,0.6,1016.74,0.0,0.0
11540,Livraison,UberEats,5,4,2019,2,8,1549652400,partly-cloudy-night,0.0,6.09,0.72,1017.22,0.0,0.0
3875,Sur place,,1,3,2017,11,6,1509980400,cloudy,0.0,7.87,0.64,1018.72,0.0,2.2470000000000003
3035,À emporter,,6,4,2017,8,12,1502560800,partly-cloudy-day,0.0,22.99,0.46,1020.5,0.0,3.233904761904762
7681,,,2,4,2018,6,19,1529431200,partly-cloudy-day,,27.83,0.47,,-6.0,-8.883333333333333
7092,Sur place,,6,3,2018,5,19,1526738400,partly-cloudy-day,0.0,23.1,0.44,1015.78,0.0,0.0
13710,Limonade,,2,2,2019,7,2,1562061600,cloudy,0.01,25.43,0.53,1018.09,0.0,0.0
6041,Limonade,,3,4,2018,3,21,1521658800,partly-cloudy-night,0.0,4.51,0.4,1025.22,0.0,0.0
8248,Livraison,KM,5,3,2018,7,20,1532095200,partly-cloudy-day,0.51,30.44,0.39,1013.12,0.0,-0.21600000000000003
6098,Livraison,Foodora,6,4,2018,3,24,1521918000,cloudy,0.0,11.67,0.53,1001.15,0.0,0.0
2715,Livraison,KM LIVRAISON,5,3,2017,7,14,1500040800,partly-cloudy-day,0.0,27.0,0.38,1018.55,4.0,7.425404761904763
1453,Livraison,AlloResto,4,3,2017,4,13,1492092000,partly-cloudy-day,0.0,21.34,0.39,1015.34,3.0,4.854428571428572
8796,Limonade,,6,2,2018,8,18,1534586400,partly-cloudy-day,0.0,24.61,0.41,1021.46,0.0,0.0
8529,,,6,4,2018,8,4,1533405600,partly-cloudy-day,0.0,35.21,0.27,1015.91,-10.0,-1.149047619047619
13047,Livraison,UberEats,6,4,2019,5,18,1558202400,rain,0.38,14.86,0.75,1006.35,0.0,0.0
6575,Livraison,Foodora,6,2,2018,4,21,1524304800,partly-cloudy-day,0.0,24.13,0.45,1020.02,0.0,0.0
520,Livraison,Deliveroo,4,4,2017,2,9,1486666800,cloudy,0.07,4.96,0.79,1019.93,25.0,22.284214285714285
9433,À emporter,,6,4,2018,9,22,1537639200,partly-cloudy-night,0.0,22.52,0.29,1022.01,0.0,0.0
2339,Sur place,,3,4,2017,6,14,1497463200,partly-cloudy-day,0.17,25.1,0.72,1013.89,30.0,15.120912698412697
7766,Livraison,KM,7,4,2018,6,24,1529863200,clear-day,,23.27,0.35,,0.0,-6.704809523809523
8287,Livraison,KM,7,4,2018,7,22,1532282400,clear-day,0.0,27.08,0.36,1014.03,0.0,-6.0191190476190455
3770,Limonade,,6,4,2017,10,28,1509213600,partly-cloudy-night,0.0,9.64,0.65,1027.16,0.0,0.0
8766,Limonade,,4,4,2018,8,16,1534442400,partly-cloudy-day,0.0,30.17,0.37,1013.0,0.0,0.0
426,Livraison,UberEats,4,4,2017,2,2,1486062000,cloudy,0.0,13.96,0.64,1007.97,15.0,23.240357142857142
579,À emporter,,2,2,2017,2,14,1487070000,clear-day,0.0,9.85,0.65,1028.05,1.0,7.355222222222221
5444,À emporter,,7,3,2018,2,18,1518966000,partly-cloudy-day,0.0,5.04,0.68,1023.5,0.0,0.0
2492,À emporter,,2,2,2017,6,27,1498557600,partly-cloudy-day,0.0,27.68,0.49,1007.5,8.0,6.645753968253969
1763,Sur place,,4,3,2017,5,4,1493906400,partly-cloudy-day,0.0,14.8,0.65,1015.19,2.0,1.7906190476190478
1357,Livraison,KM LIVRAISON,4,3,2017,4,6,1491487200,partly-cloudy-day,0.0,15.86,0.46,1021.03,7.0,5.504499278499279
6839,Livraison,UberEats,6,4,2018,5,5,1525543200,partly-cloudy-day,0.0,22.9,0.53,1015.64,0.0,0.0
13718,À emporter,,2,4,2019,7,2,1562090400,partly-cloudy-day,0.0,28.43,0.43,1017.23,0.0,-0.9165079365079365
13665,Limonade,,6,2,2019,6,29,1561802400,clear-day,0.0,30.91,0.33,1016.18,0.0,0.0
1220,Livraison,UberEats,1,4,2017,3,27,1490637600,partly-cloudy-night,0.0,16.55,0.51,1020.7,10.0,22.58361904761905
1492,Livraison,Deliveroo,6,4,2017,4,15,1492279200,cloudy,0.0,13.94,0.55,1020.01,11.0,26.788642857142857
5243,Livraison,AlloResto,3,2,2018,2,7,1518001200,cloudy,0.0,1.16,0.77,1015.02,0.0,0.0
4757,À emporter,,4,2,2018,1,11,1515668400,partly-cloudy-day,0.0,8.19,0.78,1015.33,0.0,0.0
2880,Livraison,KM,4,2,2017,7,27,1501149600,partly-cloudy-day,0.0,24.94,0.56,1012.88,0.0,-0.011428571428571429
11166,Livraison,UberEats,7,4,2019,1,13,1547406000,cloudy,0.2,7.83,0.91,1018.63,0.0,0.0
1285,Livraison,Foodora,6,3,2017,4,1,1491055200,rain,0.18,11.48,0.8,1015.75,12.0,17.605126984126983
8317,Livraison,Deliveroo,2,4,2018,7,24,1532455200,partly-cloudy-day,0.0,31.15,0.35,1012.29,0.0,0.0
1559,Livraison,AlloResto,4,4,2017,4,20,1492711200,clear-day,0.0,11.62,0.31,1028.97,2.0,7.878349206349206
12222,Sur place,,2,2,2019,3,26,1553598000,partly-cloudy-day,0.0,10.01,0.48,1026.36,0.0,-0.1404285714285714
10362,Limonade,,2,2,2018,11,20,1542711600,partly-cloudy-day,0.13,5.66,0.76,1002.75,0.0,0.0
7223,À emporter,,6,4,2018,5,26,1527357600,partly-cloudy-day,,27.83,0.46,,0.0,0.0
6274,Sur place,,2,4,2018,4,3,1522778400,cloudy,0.0,17.25,0.47,1004.35,0.0,0.0
2896,À emporter,,6,2,2017,7,29,1501322400,partly-cloudy-day,0.0,26.56,0.46,1016.88,0.0,5.4846031746031745
127,Sur place,,3,4,2017,1,11,1484161200,cloudy,0.0,5.98,0.77,1021.46,11.0,9.894476190476189
4615,Limonade,,2,3,2018,1,2,1514905200,cloudy,0.0,9.01,0.67,1021.16,0.0,0.0
6711,Sur place,,6,4,2018,4,28,1524938400,partly-cloudy-day,0.0,14.85,0.73,1009.87,0.0,0.0
6925,Limonade,,5,2,2018,5,11,1526032800,partly-cloudy-day,0.0,17.41,0.59,1017.49,0.0,0.0
8315,Limonade,,2,4,2018,7,24,1532455200,partly-cloudy-day,0.0,31.15,0.35,1012.29,0.0,0.0
729,À emporter,,4,4,2017,2,23,1487876400,cloudy,0.0,14.69,0.51,1009.58,14.0,8.140857142857142
253,Livraison,UberEats,5,4,2017,1,20,1484938800,clear-night,0.0,-1.77,0.77,1030.04,38.0,38.64719047619047
3869,Limonade,,1,2,2017,11,6,1509966000,partly-cloudy-day,0.0,7.56,0.7,1019.52,0.0,0.0
12693,Livraison,UberEats,4,3,2019,4,25,1556200800,cloudy,0.16,17.08,0.48,1007.51,0.0,0.0
4738,Sur place,,2,4,2018,1,9,1515524400,partly-cloudy-night,0.0,8.39,0.73,1014.25,0.0,0.0
11783,Livraison,UberEats,7,2,2019,2,24,1551006000,clear-day,0.0,11.61,0.6,1032.9,0.0,0.0
7313,Livraison,AlloResto,4,4,2018,5,31,1527789600,partly-cloudy-day,,21.28,0.58,,0.0,0.0
3638,À emporter,,3,4,2017,10,18,1508349600,cloudy,0.0,19.74,0.53,1012.85,0.0,1.691230158730159
925,Livraison,Foodora,3,4,2017,3,8,1488999600,cloudy,0.0,10.01,0.73,1026.53,29.0,22.40006565656566
7961,À emporter,KM,4,2,2018,7,5,1530784800,partly-cloudy-day,,24.39,0.52,,0.0,0.0
5402,À emporter,KM,5,2,2018,2,16,1518778800,cloudy,0.0,8.66,0.9,1026.5,0.0,0.0
4628,À emporter,,3,4,2018,1,3,1515006000,cloudy,0.0,8.75,0.78,1018.88,0.0,0.0
8465,Livraison,KM,3,4,2018,8,1,1533146400,partly-cloudy-day,0.0,31.18,0.43,1017.81,0.0,-6.182095238095237
7693,Livraison,AlloResto,3,2,2018,6,20,1529488800,clear-day,,25.84,0.56,,0.0,0.0
7052,Livraison,KM,4,4,2018,5,17,1526580000,partly-cloudy-day,0.0,18.77,0.65,1016.91,0.0,-8.958960317460317
9993,À emporter,KM,6,4,2018,10,27,1540663200,rain,0.15,7.2,0.81,1004.71,0.0,0.0
8913,Livraison,UberEats,5,2,2018,8,24,1535104800,partly-cloudy-day,0.01,24.25,0.52,1016.85,0.0,-0.14
1239,Livraison,UberEats,3,2,2017,3,29,1490781600,partly-cloudy-day,0.0,17.13,0.56,1027.9,7.0,5.23244155844156
11940,À emporter,,3,3,2019,3,6,1551884400,cloudy,0.0,15.79,0.41,1003.61,0.0,-0.013999999999999999
12290,Livraison,UberEats,6,3,2019,3,30,1553958000,clear-day,0.0,20.18,0.24,1021.06,0.0,0.0
3119,Sur place,,1,3,2017,8,21,1503324000,clear-day,0.0,27.09,0.37,1020.31,0.0,0.5837142857142856
10704,Limonade,,1,3,2018,12,10,1544454000,partly-cloudy-day,0.03,9.11,0.7,1028.29,0.0,-0.012
1749,À emporter,,3,4,2017,5,3,1493834400,cloudy,0.0,12.95,0.67,1016.81,16.0,6.502629870129869
6953,,,6,4,2018,5,12,1526148000,cloudy,0.0,21.0,0.51,1010.55,-12.0,-0.4622857142857143
11449,Sur place,,6,3,2019,2,2,1549119600,rain,0.86,4.67,0.84,999.86,0.0,-0.027555555555555555
5042,Livraison,Foodora,5,4,2018,1,26,1516993200,cloudy,0.04,5.77,0.86,1023.19,0.0,0.0
5061,Livraison,AlloResto,6,4,2018,1,27,1517079600,cloudy,0.0,7.75,0.8,1036.86,0.0,0.0
32,Livraison,KM LIVRAISON,3,2,2017,1,4,1483527600,partly-cloudy-day,0.0,0.61,0.79,1028.39,10.0,4.391952380952381
12038,À emporter,,2,4,2019,3,12,1552417200,partly-cloudy-night,0.0,13.88,0.28,1017.54,0.0,-1.3687619047619048
174,À emporter,,7,4,2017,1,15,1484506800,partly-cloudy-night,0.0,0.86,0.81,1024.99,23.0,6.301166666666665
2513,Livraison,KM CLICK & COLLECT,3,4,2017,6,28,1498672800,rain,0.12,18.74,0.7,1001.5,5.0,3.9640952380952377
7900,À emporter,,1,2,2018,7,2,1530525600,clear-day,,29.84,0.34,,0.0,0.0
3371,Livraison,KM,5,2,2017,9,22,1506074400,partly-cloudy-day,0.0,19.77,0.53,1021.27,0.0,-0.011666666666666665
3054,À emporter,,2,2,2017,8,15,1502791200,cloudy,0.0,27.52,0.39,1017.88,0.0,6.032047619047618
13531,Livraison,KM,3,4,2019,6,19,1560967200,partly-cloudy-day,0.2,27.86,0.32,1011.46,0.0,0.0
10778,Sur place,,5,4,2018,12,14,1544814000,cloudy,0.0,0.22,0.75,1022.71,0.0,0.0
8469,Livraison,KM,4,1,2018,8,2,1533196800,clear-day,0.0,25.85,0.56,1020.6,0.0,-0.5223571428571429
5555,Livraison,Foodora,6,3,2018,2,24,1519484400,clear-day,0.0,5.08,0.55,1011.41,0.0,0.0
2093,Livraison,Foodora,6,3,2017,5,27,1495893600,partly-cloudy-day,0.0,30.27,0.37,1016.6,13.0,9.361800865800866
706,Livraison,UberEats,3,2,2017,2,22,1487761200,partly-cloudy-day,0.0,13.16,0.69,1022.77,2.0,4.702166666666667
6130,Sur place,,1,4,2018,3,26,1522087200,partly-cloudy-night,0.0,9.59,0.72,1017.67,0.0,0.0
1589,Sur place,,6,2,2017,4,22,1492855200,clear-day,0.0,16.18,0.36,1025.88,68.0,67.48976984126985
6867,Livraison,KM,1,4,2018,5,7,1525716000,partly-cloudy-day,0.0,24.17,0.43,1009.93,0.0,-7.79925396825397
6448,À emporter,,5,4,2018,4,13,1523642400,cloudy,0.0,15.04,0.55,1013.51,0.0,0.0
9911,Sur place,,1,3,2018,10,22,1540216800,clear-day,0.0,16.32,0.45,1024.02,0.0,0.0
11768,À emporter,,6,3,2019,2,23,1550934000,clear-day,0.0,13.35,0.54,1028.35,0.0,0.0
10755,Sur place,,4,2,2018,12,13,1544698800,partly-cloudy-day,0.0,-1.14,0.9,1010.88,0.0,0.0
2483,À emporter,,1,4,2017,6,26,1498500000,partly-cloudy-day,0.0,24.69,0.6,,8.0,6.029285714285716
5272,Livraison,Foodora,4,4,2018,2,8,1518116400,cloudy,0.0,2.11,0.78,1020.8,0.0,0.0
9598,,,2,4,2018,10,2,1538503200,cloudy,0.0,14.71,0.46,1025.5,-7.0,-1.242190476190476
12674,Sur place,,3,2,2019,4,24,1556100000,partly-cloudy-day,0.13,15.87,0.71,1003.31,0.0,-0.15571428571428572
7540,Sur place,,1,4,2018,6,11,1528740000,partly-cloudy-day,,20.28,0.69,,0.0,0.0
9936,Sur place,,2,4,2018,10,23,1540317600,partly-cloudy-night,0.0,13.99,0.57,1028.73,0.0,0.0
4135,Livraison,KM,6,4,2017,11,25,1511636400,partly-cloudy-night,0.0,5.34,0.69,1023.93,0.0,-11.792976190476189
5206,Limonade,,1,2,2018,2,5,1517828400,fog,0.0,1.14,0.88,1017.54,0.0,0.0
4826,À emporter,,7,4,2018,1,14,1515956400,cloudy,0.0,6.3,0.74,1020.69,0.0,0.0
2400,Livraison,KM LIVRAISON,1,4,2017,6,19,1497895200,clear-day,0.0,31.1,0.35,1015.66,20.0,19.22911904761905
8867,À emporter,,2,4,2018,8,21,1534874400,partly-cloudy-day,0.0,29.59,0.41,1016.45,0.0,0.0
8887,Limonade,,3,4,2018,8,22,1534960800,partly-cloudy-day,0.21,29.17,0.42,1016.13,0.0,0.0
3301,Sur place,,3,2,2017,9,13,1505296800,cloudy,0.0,19.55,0.53,1019.23,0.0,15.37683116883117
947,À emporter,,5,2,2017,3,10,1489143600,partly-cloudy-day,0.0,14.84,0.61,1024.57,15.0,4.109166666666667
379,Livraison,KM LIVRAISON,1,4,2017,1,30,1485802800,rain,0.21,8.13,0.86,1019.34,20.0,14.031404761904763
2602,À emporter,,3,4,2017,7,5,1499277600,clear-day,0.0,31.2,0.3,1014.39,4.0,4.6099213564213555
5238,Livraison,UberEats,2,4,2018,2,6,1517943600,cloudy,0.0,1.92,0.86,1011.87,0.0,0.0
6806,Livraison,AlloResto,5,3,2018,5,4,1525442400,cloudy,0.0,20.34,0.56,1012.01,0.0,0.0
1751,Livraison,Deliveroo,3,4,2017,5,3,1493834400,cloudy,0.0,12.95,0.67,1016.81,18.0,14.363111111111111
10199,À emporter,,5,4,2018,11,9,1541790000,partly-cloudy-night,0.01,13.17,0.74,1013.96,0.0,0.0
13315,À emporter,,3,4,2019,6,5,1559757600,partly-cloudy-day,0.0,26.36,0.29,1005.75,0.0,-0.6227777777777779
4214,Sur place,,5,4,2017,12,1,1512154800,partly-cloudy-night,0.0,0.86,0.79,1016.75,0.0,13.743523809523811
6888,Livraison,AlloResto,3,2,2018,5,9,1525860000,cloudy,0.0,19.41,0.7,1008.3,0.0,0.0
2224,Livraison,Deliveroo,2,4,2017,6,6,1496772000,partly-cloudy-day,0.0,19.52,0.46,1014.29,6.0,23.05274603174603
9967,Limonade,,5,2,2018,10,26,1540548000,cloudy,0.02,12.07,0.72,1013.71,0.0,0.0
8264,Sur place,,6,2,2018,7,21,1532167200,partly-cloudy-day,0.04,21.64,0.69,1014.3,0.0,0.0
2033,Livraison,Foodora,2,3,2017,5,23,1495548000,partly-cloudy-day,0.0,26.96,0.4,1019.49,1.0,4.580443722943723
10328,Sur place,,6,4,2018,11,17,1542481200,cloudy,0.02,8.21,0.8,1021.93,0.0,0.0
8350,Livraison,Deliveroo,4,4,2018,7,26,1532628000,partly-cloudy-day,0.0,34.17,0.3,1011.12,0.0,0.0
7618,À emporter,,5,4,2018,6,15,1529085600,partly-cloudy-day,,23.27,0.5,,0.0,0.0
10449,Livraison,UberEats,6,4,2018,11,24,1543086000,cloudy,0.0,7.74,0.84,1014.39,0.0,0.0
8131,Livraison,Foodora,5,4,2018,7,13,1531504800,partly-cloudy-day,0.0,29.39,0.33,1016.84,0.0,0.0
7427,À emporter,,3,3,2018,6,6,1528293600,partly-cloudy-day,,25.27,0.5,,0.0,0.0
1210,Livraison,KM CLICK & COLLECT,1,2,2017,3,27,1490608800,partly-cloudy-day,0.0,15.42,0.55,1021.0,2.0,3.93586507936508
7455,Livraison,AlloResto,4,4,2018,6,7,1528394400,partly-cloudy-day,,22.28,0.63,,0.0,0.0
12760,Limonade,,2,1,2019,4,30,1556611200,partly-cloudy-day,0.0,12.96,0.6,1018.99,0.0,0.0
6062,À emporter,KM,5,2,2018,3,23,1521802800,cloudy,0.0,7.24,0.68,1010.77,0.0,0.0
338,Livraison,KM LIVRAISON,5,3,2017,1,27,1485529200,cloudy,0.0,6.17,0.6,1017.13,0.0,7.235579365079364
2000,Livraison,Deliveroo,6,4,2017,5,20,1495303200,partly-cloudy-day,0.0,17.38,0.48,1023.92,30.0,25.43345887445888
12950,À emporter,,7,3,2019,5,12,1557669600,partly-cloudy-day,0.03,16.27,0.41,1026.09,0.0,0.0
8408,Livraison,Deliveroo,1,2,2018,7,30,1532944800,clear-day,0.0,28.12,0.51,1016.69,0.0,0.0
11817,Limonade,,2,3,2019,2,26,1551193200,partly-cloudy-day,0.0,17.07,0.36,1029.27,0.0,0.0
2836,Livraison,UberEats,6,4,2017,7,22,1500746400,cloudy,0.26,22.08,0.81,1014.23,90.0,20.73416666666667
11690,Sur place,,1,2,2019,2,18,1550487600,partly-cloudy-day,0.0,13.32,0.46,1022.39,0.0,-0.22742857142857142
2477,Livraison,UberEats,7,4,2017,6,25,1498413600,partly-cloudy-day,0.0,27.15,0.41,1014.51,39.0,45.9294567099567
12761,À emporter,,2,2,2019,4,30,1556618400,partly-cloudy-day,0.0,15.39,0.53,1017.92,0.0,0.0
7054,Sur place,,4,4,2018,5,17,1526580000,partly-cloudy-day,0.0,18.77,0.65,1016.91,0.0,0.0
6088,Limonade,KM,6,3,2018,3,24,1521903600,partly-cloudy-day,0.0,15.01,0.42,998.36,0.0,0.0
398,Livraison,AlloResto,3,2,2017,2,1,1485946800,partly-cloudy-day,0.0,14.48,0.68,1015.88,2.0,3.2232857142857143
37,Livraison,AlloResto,3,4,2017,1,4,1483556400,cloudy,0.0,2.4,0.79,1025.14,7.0,11.074500000000002
1230,Livraison,Foodora,2,4,2017,3,28,1490724000,partly-cloudy-night,0.0,17.36,0.46,1024.87,17.0,20.682833333333328
6424,Sur place,,4,2,2018,4,12,1523527200,partly-cloudy-day,0.0,15.33,0.54,1001.3,0.0,0.0
8578,Livraison,Deliveroo,2,3,2018,8,7,1533650400,clear-day,0.0,35.74,0.28,1011.02,0.0,0.0
3676,À emporter,,6,2,2017,10,21,1508580000,partly-cloudy-day,0.0,21.42,0.6,1018.46,0.0,3.4465476190476187
12971,À emporter,,1,4,2019,5,13,1557770400,clear-day,0.0,17.76,0.35,1023.61,0.0,-3.211349206349206
5460,Livraison,Deliveroo,1,2,2018,2,19,1519038000,partly-cloudy-day,0.0,4.16,0.68,1020.11,0.0,0.0
10842,Sur place,,3,3,2018,12,19,1545231600,rain,0.33,8.74,0.82,1017.32,0.0,0.0
11229,Sur place,,5,2,2019,1,18,1547809200,partly-cloudy-day,0.0,2.62,0.72,1018.57,0.0,-0.039
2133,À emporter,,2,4,2017,5,30,1496167200,partly-cloudy-day,0.0,26.39,0.45,1015.42,8.0,4.698285714285714
4324,Sur place,,6,2,2017,12,9,1512817200,partly-cloudy-day,0.0,2.82,0.74,1024.64,0.0,11.922777777777778
11935,Sur place,,2,4,2019,3,5,1551812400,partly-cloudy-night,0.0,10.52,0.45,1014.79,-8.0,-1.0436688311688311
5863,Livraison,Foodora,2,4,2018,3,13,1520967600,partly-cloudy-night,0.0,8.14,0.74,1015.23,0.0,0.0
504,À emporter,,3,4,2017,2,8,1486580400,cloudy,0.0,6.69,0.72,1022.13,7.0,6.122880952380952
316,Livraison,AlloResto,3,4,2017,1,25,1485370800,partly-cloudy-night,0.0,-3.31,0.74,1026.93,7.0,12.456333333333331
487,À emporter,,2,4,2017,2,7,1486494000,partly-cloudy-night,0.0,6.96,0.88,1018.43,5.0,2.8677380952380944
8144,Limonade,,6,3,2018,7,14,1531576800,partly-cloudy-day,0.02,32.84,0.31,1016.0,0.0,0.0
5440,Livraison,Foodora,6,4,2018,2,17,1518894000,partly-cloudy-night,0.0,7.65,0.74,1023.0,0.0,0.0
3259,Livraison,KM,4,4,2017,9,7,1504807200,partly-cloudy-day,0.0,18.15,0.54,1017.2,0.0,-0.3088888888888889
4230,À emporter,,7,2,2017,12,3,1512298800,cloudy,0.0,0.0,0.73,1030.06,0.0,18.886597402597403
3303,À emporter,,3,4,2017,9,13,1505325600,partly-cloudy-night,0.0,24.23,0.5,1014.7,0.0,5.664285714285715
12215,À emporter,,1,4,2019,3,25,1553540400,clear-night,0.0,9.45,0.43,1024.54,0.0,-3.7353095238095237
9635,Livraison,UberEats,4,3,2018,10,4,1538661600,partly-cloudy-day,0.0,18.92,0.55,1022.57,0.0,-0.02
11382,Livraison,Deliveroo,1,4,2019,1,28,1548702000,cloudy,0.03,4.8,0.62,1010.93,0.0,0.0
2065,Livraison,AlloResto,4,4,2017,5,25,1495735200,partly-cloudy-day,0.0,25.38,0.43,1014.39,12.0,13.527952380952378
5229,Livraison,UberEats,2,2,2018,2,6,1517914800,rain,0.18,5.48,0.74,1010.2,0.0,0.0
6825,Livraison,UberEats,6,2,2018,5,5,1525514400,partly-cloudy-day,0.0,20.03,0.57,1016.13,0.0,0.0
7033,Livraison,UberEats,3,4,2018,5,16,1526493600,partly-cloudy-day,0.0,16.65,0.72,1015.45,0.0,0.0
5952,Livraison,Deliveroo,6,2,2018,3,17,1521284400,rain,0.1,7.63,0.85,997.66,0.0,0.0
639,Livraison,Deliveroo,5,4,2017,2,17,1487358000,partly-cloudy-night,0.0,9.24,0.77,1027.01,36.0,25.664619047619045
13722,Livraison,KM,2,4,2019,7,2,1562090400,partly-cloudy-day,0.0,28.43,0.43,1017.23,0.0,0.0
11634,À emporter,,5,2,2019,2,15,1550228400,clear-day,0.0,10.19,0.54,1030.89,0.0,0.0
5861,Livraison,AlloResto,2,4,2018,3,13,1520967600,partly-cloudy-night,0.0,8.14,0.74,1015.23,0.0,0.0
649,Livraison,Foodora,6,3,2017,2,18,1487430000,clear-day,0.0,11.41,0.58,1023.57,12.0,13.904126984126986
5305,Livraison,Foodora,6,3,2018,2,10,1518274800,cloudy,0.0,4.36,0.66,1020.45,0.0,0.0
7741,À emporter,UberEats,6,3,2018,6,23,1529762400,clear-day,,23.27,0.35,,0.0,0.0
7809,Livraison,UberEats,3,2,2018,6,27,1530093600,clear-day,,24.83,0.48,,0.0,0.0
6626,Livraison,UberEats,2,2,2018,4,24,1524564000,partly-cloudy-day,0.0,21.33,0.59,1019.99,0.0,0.0
12483,À emporter,,5,3,2019,4,12,1555077600,partly-cloudy-day,0.0,15.16,0.33,1016.18,0.0,0.0
9603,Livraison,UberEats,2,4,2018,10,2,1538503200,cloudy,0.0,14.71,0.46,1025.5,0.0,0.0
1000,Livraison,KM CLICK & COLLECT,1,4,2017,3,13,1489431600,clear-night,0.0,13.55,0.61,1027.29,4.0,4.224047619047619
1975,Livraison,AlloResto,5,2,2017,5,19,1495188000,partly-cloudy-day,0.0,12.45,0.76,1019.1,1.0,2.332722222222223
3335,Sur place,,7,3,2017,9,17,1505656800,rain,0.14,14.51,0.72,1014.28,0.0,2.7812619047619047
8888,Livraison,Deliveroo,3,4,2018,8,22,1534960800,partly-cloudy-day,0.21,29.17,0.42,1016.13,0.0,0.0
5893,Livraison,UberEats,3,4,2018,3,14,1521054000,cloudy,0.0,13.19,0.43,1003.44,0.0,0.0
3168,À emporter,,6,4,2017,8,26,1503770400,partly-cloudy-day,0.0,30.73,0.32,1013.41,0.0,5.546507936507936
2664,Livraison,Deliveroo,1,4,2017,7,10,1499709600,rain,0.07,19.54,0.85,1014.57,19.0,23.007714285714286
12944,Livraison,UberEats,6,4,2019,5,11,1557597600,partly-cloudy-day,0.11,14.28,0.62,1021.46,0.0,0.0
6298,Livraison,UberEats,4,2,2018,4,5,1522922400,partly-cloudy-day,0.0,13.33,0.56,1019.35,0.0,0.0
2233,Livraison,Deliveroo,3,3,2017,6,7,1496844000,partly-cloudy-day,0.0,19.62,0.44,1021.79,11.0,3.4634444444444448
553,Livraison,KM LIVRAISON,6,4,2017,2,11,1486839600,cloudy,0.0,9.83,0.69,1017.06,22.0,25.77733189033189
10041,Limonade,,3,2,2018,10,31,1540983600,cloudy,0.05,11.47,0.71,1010.74,0.0,0.0
3098,Sur place,,6,2,2017,8,19,1503136800,partly-cloudy-day,0.0,21.19,0.52,1021.32,0.0,5.140666666666667
10132,À emporter,,1,4,2018,11,5,1541444400,partly-cloudy-night,0.0,16.72,0.72,1006.91,0.0,0.0
