,sur_place,livraison,semaine,jour,year,month,date,time,icon,precipintensity,temperature,humidity,pressure,vrai,predict
10261,Livraison,Deliveroo,2,4,2018,11,13,1542135600,cloudy,0.0,12.23,0.84,1030.22,0.0,0.0
8571,Livraison,AlloResto,2,2,2018,8,7,1533636000,clear-day,0.0,32.3,0.38,1012.99,0.0,0.0
11950,À emporter,,4,2,2019,3,7,1551956400,partly-cloudy-day,0.03,12.16,0.6,1010.67,0.0,0.0
6568,Livraison,KM,5,4,2018,4,20,1524247200,partly-cloudy-day,0.0,25.17,0.4,1019.27,0.0,-5.467023809523808
13466,Limonade,,6,3,2019,6,15,1560607200,rain,1.77,14.89,0.9,1017.34,0.0,0.0
12173,Sur place,,5,3,2019,3,22,1553266800,clear-day,0.0,20.21,0.25,1027.19,0.0,-0.011428571428571429
11012,À emporter,,4,2,2019,1,3,1546513200,partly-cloudy-day,0.0,3.38,0.61,1035.18,0.0,-0.008
7670,Sur place,,1,4,2018,6,18,1529344800,partly-cloudy-day,,22.83,0.54,,0.0,0.0
5983,À emporter,,7,4,2018,3,18,1521399600,cloudy,0.0,4.69,0.73,1004.08,0.0,0.0
3522,Livraison,KM,1,2,2017,10,9,1507543200,cloudy,0.0,16.44,0.71,1021.79,0.0,0.0
5398,Livraison,KM,4,4,2018,2,15,1518721200,cloudy,0.0,9.79,0.82,1022.33,0.0,-7.182428571428571
10073,À emporter,,5,2,2018,11,2,1541156400,partly-cloudy-day,0.01,13.45,0.68,1021.4,0.0,-0.02
11290,À emporter,,2,4,2019,1,22,1548183600,fog,0.05,1.16,0.76,1006.0,-7.0,-0.36083333333333334
4974,Livraison,Foodora,2,2,2018,1,23,1516705200,partly-cloudy-day,0.0,10.72,0.62,1029.14,0.0,0.0
13355,Livraison,UberEats,6,2,2019,6,8,1559988000,clear-day,0.0,19.92,0.34,1024.86,0.0,0.0
5832,Livraison,Foodora,1,2,2018,3,12,1520852400,partly-cloudy-day,0.0,13.54,0.61,1003.04,0.0,0.0
6461,Livraison,Deliveroo,6,2,2018,4,14,1523700000,rain,0.18,13.91,0.71,1019.61,0.0,0.0
2906,Sur place,,7,3,2017,7,30,1501423200,partly-cloudy-day,0.0,30.9,0.41,1012.05,0.0,0.8237142857142856
277,Livraison,Foodora,7,4,2017,1,22,1485111600,cloudy,0.0,-0.91,0.81,1025.39,47.0,37.18751587301587
6635,Livraison,KM,2,4,2018,4,24,1524592800,partly-cloudy-day,0.0,23.0,0.45,1015.66,0.0,-8.640476190476187
6017,,,2,4,2018,3,20,1521572400,partly-cloudy-night,0.0,4.12,0.57,1019.22,-12.0,-3.6544682539682545
1576,Livraison,Deliveroo,5,4,2017,4,21,1492797600,clear-day,0.0,15.46,0.31,1027.71,15.0,30.559777777777782
5212,Sur place,,1,2,2018,2,5,1517828400,fog,0.0,1.14,0.88,1017.54,0.0,0.0
757,Livraison,AlloResto,6,3,2017,2,25,1488034800,partly-cloudy-day,0.0,10.03,0.54,1021.43,2.0,4.380380952380953
10182,Limonade,,4,4,2018,11,8,1541703600,partly-cloudy-night,0.0,11.29,0.85,1017.22,0.0,0.0
13108,Limonade,,3,4,2019,5,22,1558548000,clear-day,0.0,21.16,0.39,1017.83,0.0,0.0
4008,Livraison,KM,4,2,2017,11,16,1510830000,cloudy,0.0,1.93,0.88,1025.84,0.0,-0.1171904761904762
11913,Livraison,Deliveroo,1,2,2019,3,4,1551697200,partly-cloudy-day,0.04,14.91,0.35,1011.28,0.0,0.0
1029,Sur place,,3,3,2017,3,15,1489590000,partly-cloudy-day,0.0,16.83,0.5,1027.91,2.0,2.463221500721501
8735,Livraison,Deliveroo,3,3,2018,8,15,1534341600,partly-cloudy-day,0.0,28.37,0.36,1018.69,0.0,0.0
4468,Limonade,,1,3,2017,12,18,1513609200,partly-cloudy-day,0.0,2.51,0.9,1024.74,0.0,-0.24657142857142858
3991,Limonade,,3,2,2017,11,15,1510743600,cloudy,0.0,3.59,0.77,1025.61,0.0,0.0
8516,À emporter,,6,2,2018,8,4,1533376800,clear-day,0.0,33.49,0.39,1017.33,0.0,0.0
9049,Livraison,UberEats,5,2,2018,8,31,1535709600,partly-cloudy-day,0.0,21.54,0.47,1019.78,0.0,0.0
8222,Sur place,,3,4,2018,7,18,1531936800,partly-cloudy-day,0.0,30.13,0.29,1014.42,0.0,0.0
6067,Livraison,Foodora,5,2,2018,3,23,1521802800,cloudy,0.0,7.24,0.68,1010.77,0.0,0.0
12643,Limonade,,1,3,2019,4,22,1555941600,partly-cloudy-day,0.0,25.16,0.25,1001.19,0.0,-0.08685714285714287
12049,Livraison,Deliveroo,3,3,2019,3,13,1552489200,partly-cloudy-day,0.13,8.57,0.62,1019.44,0.0,0.0
7718,Livraison,KM,4,4,2018,6,21,1529604000,clear-day,,28.84,0.4,,0.0,-9.155476190476191
10046,Sur place,,3,3,2018,10,31,1540998000,partly-cloudy-day,0.0,15.44,0.55,1010.6,0.0,0.0
9342,Sur place,,1,2,2018,9,17,1537178400,partly-cloudy-day,0.0,26.41,0.51,1019.81,0.0,0.0
13263,Livraison,Deliveroo,7,2,2019,6,2,1559469600,clear-day,0.0,27.13,0.39,1017.51,0.0,0.0
5368,Limonade,,3,2,2018,2,14,1518606000,rain,0.16,5.04,0.77,1017.54,0.0,0.0
4838,Livraison,AlloResto,1,2,2018,1,15,1516014000,cloudy,0.0,8.49,0.7,1020.33,0.0,0.0
12910,Livraison,KM,4,4,2019,5,9,1557424800,partly-cloudy-day,0.11,16.27,0.6,1009.2,0.0,0.0
6940,À emporter,,6,2,2018,5,12,1526119200,partly-cloudy-day,0.0,22.97,0.53,1012.86,0.0,0.0
4152,À emporter,KM,1,4,2017,11,27,1511809200,partly-cloudy-night,0.0,3.64,0.77,1025.15,0.0,1.5878571428571429
9439,À emporter,,7,3,2018,9,23,1537711200,partly-cloudy-day,0.06,31.49,0.33,1018.53,0.0,0.0
3535,Sur place,,2,2,2017,10,10,1507629600,partly-cloudy-day,0.0,16.45,0.67,1022.72,0.0,4.402380952380953
12116,Livraison,UberEats,1,3,2019,3,18,1552921200,cloudy,0.04,10.19,0.54,1022.27,0.0,0.0
7360,Livraison,UberEats,6,4,2018,6,2,1527962400,clear-day,,24.27,0.53,,0.0,0.0
13721,Livraison,KM,2,4,2019,7,2,1562090400,partly-cloudy-day,0.0,28.43,0.43,1017.23,0.0,0.0
11058,Limonade,,7,2,2019,1,6,1546772400,cloudy,0.0,4.34,0.75,1034.01,0.0,0.0
4129,Limonade,,6,3,2017,11,25,1511622000,partly-cloudy-day,0.0,9.2,0.65,1020.16,0.0,-0.11333333333333334
6416,À emporter,,4,2,2018,4,12,1523527200,partly-cloudy-day,0.0,15.33,0.54,1001.3,0.0,0.0
4741,Limonade,,3,2,2018,1,10,1515582000,cloudy,0.0,9.6,0.76,1013.47,0.0,0.0
9313,Livraison,UberEats,6,2,2018,9,15,1537005600,clear-day,0.0,22.07,0.39,1023.36,0.0,0.0
1516,Livraison,Deliveroo,1,4,2017,4,17,1492452000,partly-cloudy-day,0.0,14.67,0.51,1019.52,36.0,26.39761904761905
9685,,,7,4,2018,10,7,1538935200,partly-cloudy-night,0.16,14.06,0.83,1017.56,-5.0,-1.8484761904761908
3177,Sur place,,1,2,2017,8,28,1503914400,cloudy,0.0,26.83,0.57,1016.28,0.0,11.677619047619048
2603,Livraison,KM LIVRAISON,3,4,2017,7,5,1499277600,clear-day,0.0,31.2,0.3,1014.39,22.0,21.337634920634915
4767,À emporter,KM,4,4,2018,1,11,1515697200,partly-cloudy-night,0.0,6.72,0.85,1019.04,0.0,0.0
11033,Sur place,,5,2,2019,1,4,1546599600,partly-cloudy-day,0.0,3.14,0.67,1035.32,0.0,-0.02066666666666667
12298,Sur place,,6,4,2019,3,30,1553972400,clear-night,0.0,15.77,0.35,1021.46,0.0,-3.3454444444444436
2201,Livraison,Foodora Click&Collect,7,4,2017,6,4,1496599200,partly-cloudy-day,0.0,18.87,0.57,1016.09,2.0,38.91850000000001
5986,Livraison,Foodora,7,4,2018,3,18,1521399600,cloudy,0.0,4.69,0.73,1004.08,0.0,0.0
2634,Livraison,UberEats,5,4,2017,7,7,1499450400,partly-cloudy-day,0.0,33.98,0.3,1014.99,24.0,49.24455555555554
7056,Livraison,KM,5,1,2018,5,18,1526630400,cloudy,0.0,14.46,0.79,1019.58,0.0,-0.593857142857143
1425,Sur place,,2,2,2017,4,11,1491904800,partly-cloudy-day,0.0,14.82,0.53,1024.39,80.0,57.43733333333333
10365,Livraison,,2,2,2018,11,20,1542711600,partly-cloudy-day,0.13,5.66,0.76,1002.75,0.0,-2.596857142857143
5171,Livraison,UberEats,5,4,2018,2,2,1517598000,cloudy,0.0,4.19,0.72,1011.64,0.0,0.0
12378,Livraison,Deliveroo,4,4,2019,4,4,1554400800,partly-cloudy-day,0.0,8.43,0.6,1003.65,0.0,0.0
12955,À emporter,,7,4,2019,5,12,1557684000,clear-day,0.0,14.79,0.38,1026.78,0.0,-1.169857142857143
539,Livraison,Foodora,5,4,2017,2,10,1486753200,cloudy,0.0,7.99,0.7,1017.53,29.0,37.55583333333334
