"frequentation";"ca_ttc";"ca_ht";"date_commande";"midi_soir";"jour_semaine";"sur_place";"type_vente";"livraison";"nb_commandes"
0;0;0;2017-01-01;"";"7 - Dimanche";"";CA;"";0
0;0;0;2017-01-02;"";"1 - Lundi";"";CA;"";0
21;290.00000000;263.63636368;2017-01-02;"2 - Midi";"1 - Lundi";À emporter;CA;;17
94;1291.40000000;1172.04166678;2017-01-02;"2 - Midi";"1 - Lundi";Sur place;CA;;69
4;45.20000000;41.09090908;2017-01-02;"3 - Après-midi";"1 - Lundi";À emporter;CA;;2
0;0.00000000;0.00000000;2017-01-02;"3 - Après-midi";"1 - Lundi";Sur place;CA;;1
17;252.00000000;229.09090907;2017-01-02;"4 - Soir";"1 - Lundi";À emporter;CA;;11
22;285.20000000;258.03636367;2017-01-02;"4 - Soir";"1 - Lundi";Sur place;CA;;19
5;42.50000000;38.63636364;2017-01-02;"4 - Soir";"1 - Lundi";Sur place;Conso Perso;;1
0;0;0;2017-01-03;"";"2 - Mardi";"";CA;"";0
19;216.50000000;196.81818175;2017-01-03;"1 - Matin";"2 - Mardi";Livraison;CA;AlloResto;1
31;368.70000000;335.18181809;2017-01-03;"1 - Matin";"2 - Mardi";Livraison;CA;Deliveroo;1
21;240.50000000;218.63636355;2017-01-03;"1 - Matin";"2 - Mardi";Livraison;CA;Foodora;1
25;287.00000000;260.90909084;2017-01-03;"1 - Matin";"2 - Mardi";Livraison;CA;UberEats;1
0;0.00000000;0.00000000;2017-01-03;"1 - Matin";"2 - Mardi";Sur place;CA;;4
0;0.00000000;0.00000000;2017-01-03;"1 - Matin";"2 - Mardi";Sur place;CA;;8
7;111.00000000;100.90909091;2017-01-03;"2 - Midi";"2 - Mardi";À emporter;CA;;7
2;31.00000000;28.18181818;2017-01-03;"2 - Midi";"2 - Mardi";Livraison;CA;AlloResto;1
7;117.30000000;106.31212120;2017-01-03;"2 - Midi";"2 - Mardi";Livraison;CA;Deliveroo;2
2;33.50000000;30.45454545;2017-01-03;"2 - Midi";"2 - Mardi";Livraison;CA;Foodora;1
7;90.56000000;82.32727272;2017-01-03;"2 - Midi";"2 - Mardi";Livraison;CA;KM LIVRAISON;2
2;29.50000000;26.81818181;2017-01-03;"2 - Midi";"2 - Mardi";Livraison;CA;UberEats;1
41;543.25000000;492.97045460;2017-01-03;"2 - Midi";"2 - Mardi";Sur place;CA;;36
3;41.50000000;37.41818182;2017-01-03;"3 - Après-midi";"2 - Mardi";Sur place;CA;;3
3;47.50000000;43.18181818;2017-01-03;"4 - Soir";"2 - Mardi";À emporter;CA;;1
5;87.10000000;79.18181820;2017-01-03;"4 - Soir";"2 - Mardi";Livraison;CA;AlloResto;1
11;168.00000000;152.72727272;2017-01-03;"4 - Soir";"2 - Mardi";Livraison;CA;Deliveroo;1
11;165.00000000;149.99999998;2017-01-03;"4 - Soir";"2 - Mardi";Livraison;CA;Foodora;1
22;335.00000000;304.54545454;2017-01-03;"4 - Soir";"2 - Mardi";Livraison;CA;KM LIVRAISON;1
5;75.50000000;68.63636361;2017-01-03;"4 - Soir";"2 - Mardi";Livraison;CA;UberEats;1
22;378.40000000;338.46212122;2017-01-03;"4 - Soir";"2 - Mardi";Sur place;CA;;20
0;0;0;2017-01-04;"";"3 - Mercredi";"";CA;"";0
1;8.50000000;7.72727273;2017-01-04;"1 - Matin";"3 - Mercredi";Sur place;CA;;1
4;48.20000000;43.81818184;2017-01-04;"2 - Midi";"3 - Mercredi";À emporter;CA;;4
4;59.00000000;53.63636363;2017-01-04;"2 - Midi";"3 - Mercredi";Livraison;CA;AlloResto;1
3;47.00000000;42.72727272;2017-01-04;"2 - Midi";"3 - Mercredi";Livraison;CA;Deliveroo;1
4;62.30000000;56.63636363;2017-01-04;"2 - Midi";"3 - Mercredi";Livraison;CA;Foodora;1
10;150.50000000;136.81818181;2017-01-04;"2 - Midi";"3 - Mercredi";Livraison;CA;KM LIVRAISON;1
2;33.50000000;30.45454545;2017-01-04;"2 - Midi";"3 - Mercredi";Livraison;CA;UberEats;1
52;688.50000000;624.82424243;2017-01-04;"2 - Midi";"3 - Mercredi";Sur place;CA;;45
3;45.00000000;40.90909090;2017-01-04;"3 - Après-midi";"3 - Mercredi";Sur place;CA;;3
4;52.00000000;47.27272728;2017-01-04;"4 - Soir";"3 - Mercredi";À emporter;CA;;3
7;109.40000000;99.45454546;2017-01-04;"4 - Soir";"3 - Mercredi";Livraison;CA;AlloResto;1
7;107.00000000;97.27272726;2017-01-04;"4 - Soir";"3 - Mercredi";Livraison;CA;Deliveroo;1
6;89.00000000;80.90909090;2017-01-04;"4 - Soir";"3 - Mercredi";Livraison;CA;Foodora;1
12;164.85000000;149.86363635;2017-01-04;"4 - Soir";"3 - Mercredi";Livraison;CA;KM LIVRAISON;1
21;321.50000000;292.27272723;2017-01-04;"4 - Soir";"3 - Mercredi";Livraison;CA;UberEats;1
12;174.50000000;158.13787876;2017-01-04;"4 - Soir";"3 - Mercredi";Sur place;CA;;11
12;100.00000000;90.90909092;2017-01-04;"4 - Soir";"3 - Mercredi";Sur place;Conso Perso;;1
0;0;0;2017-01-05;"";"4 - Jeudi";"";CA;"";0
7;97.99000000;89.08181819;2017-01-05;"2 - Midi";"4 - Jeudi";À emporter;CA;;6
4;61.00000000;55.45454545;2017-01-05;"2 - Midi";"4 - Jeudi";Livraison;CA;Deliveroo;2
3;51.00000000;46.36363636;2017-01-05;"2 - Midi";"4 - Jeudi";Livraison;CA;Foodora;1
1;20.50000000;18.63636363;2017-01-05;"2 - Midi";"4 - Jeudi";Livraison;CA;KM LIVRAISON;1
4;59.00000000;53.63636361;2017-01-05;"2 - Midi";"4 - Jeudi";Livraison;CA;UberEats;1
64;911.25000000;828.40303031;2017-01-05;"2 - Midi";"4 - Jeudi";Sur place;CA;;59
14;179.50000000;163.18181816;2017-01-05;"4 - Soir";"4 - Jeudi";À emporter;CA;;9
6;89.50000000;81.36363634;2017-01-05;"4 - Soir";"4 - Jeudi";Livraison;CA;AlloResto;1
18;280.40000000;254.58484845;2017-01-05;"4 - Soir";"4 - Jeudi";Livraison;CA;Deliveroo;1
31;490.80000000;446.18181810;2017-01-05;"4 - Soir";"4 - Jeudi";Livraison;CA;Foodora;1
25;376.73000000;342.15757571;2017-01-05;"4 - Soir";"4 - Jeudi";Livraison;CA;KM LIVRAISON;1
16;232.50000000;211.36363634;2017-01-05;"4 - Soir";"4 - Jeudi";Livraison;CA;UberEats;1
16;224.40000000;203.16666666;2017-01-05;"4 - Soir";"4 - Jeudi";Sur place;CA;;11
12;110.50000000;100.45454549;2017-01-05;"4 - Soir";"4 - Jeudi";Sur place;Conso Perso;;3
0;0;0;2017-01-06;"";"5 - Vendredi";"";CA;"";0
10;142.00000000;129.09090909;2017-01-06;"2 - Midi";"5 - Vendredi";À emporter;CA;;8
1;17.00000000;15.45454545;2017-01-06;"2 - Midi";"5 - Vendredi";Livraison;CA;AlloResto;1
6;96.00000000;87.27272727;2017-01-06;"2 - Midi";"5 - Vendredi";Livraison;CA;Deliveroo;1
5;86.00000000;78.18181817;2017-01-06;"2 - Midi";"5 - Vendredi";Livraison;CA;Foodora;1
3;40.93000000;37.20909090;2017-01-06;"2 - Midi";"5 - Vendredi";Livraison;CA;KM LIVRAISON;1
1;15.50000000;14.09090909;2017-01-06;"2 - Midi";"5 - Vendredi";Livraison;CA;UberEats;1
63;907.30000000;823.12045469;2017-01-06;"2 - Midi";"5 - Vendredi";Sur place;CA;;47
3;49.11000000;44.64545454;2017-01-06;"3 - Après-midi";"5 - Vendredi";Sur place;CA;;4
19;304.70000000;276.99999997;2017-01-06;"4 - Soir";"5 - Vendredi";À emporter;CA;;10
7;108.50000000;98.63636363;2017-01-06;"4 - Soir";"5 - Vendredi";Livraison;CA;AlloResto;1
39;585.50000000;532.27272720;2017-01-06;"4 - Soir";"5 - Vendredi";Livraison;CA;Deliveroo;1
52;818.50000000;744.09090901;2017-01-06;"4 - Soir";"5 - Vendredi";Livraison;CA;Foodora;1
24;323.51000000;294.09999995;2017-01-06;"4 - Soir";"5 - Vendredi";Livraison;CA;KM LIVRAISON;1
22;341.20000000;310.18181816;2017-01-06;"4 - Soir";"5 - Vendredi";Livraison;CA;UberEats;1
31;433.40000000;392.94318184;2017-01-06;"4 - Soir";"5 - Vendredi";Sur place;CA;;21
14;120.50000000;109.54545454;2017-01-06;"4 - Soir";"5 - Vendredi";Sur place;Conso Perso;;1
0;0;0;2017-01-07;"";"6 - Samedi";"";CA;"";0
0;0.00000000;0.00000000;2017-01-07;"1 - Matin";"6 - Samedi";Sur place;CA;;2
7;88.98000000;80.89090911;2017-01-07;"2 - Midi";"6 - Samedi";À emporter;CA;;5
51;694.50000000;629.75000003;2017-01-07;"2 - Midi";"6 - Samedi";Sur place;CA;;25
46;731.40000000;664.90909080;2017-01-07;"3 - Après-midi";"6 - Samedi";À emporter;CA;;29
30;454.01000000;411.58939394;2017-01-07;"3 - Après-midi";"6 - Samedi";Sur place;CA;;25
14;205.50000000;186.81818179;2017-01-07;"4 - Soir";"6 - Samedi";À emporter;CA;;7
4;66.50000000;60.45454544;2017-01-07;"4 - Soir";"6 - Samedi";Livraison;CA;Foodora;2
175;2573.06000000;2337.89848468;2017-01-07;"4 - Soir";"6 - Samedi";Sur place;CA;;44
10;85.00000000;77.27272727;2017-01-07;"4 - Soir";"6 - Samedi";Sur place;Conso Perso;;2
3;46.50000000;42.27272727;2017-01-08;"3 - Après-midi";"7 - Dimanche";Sur place;CA;;2
170;2595.43000000;2359.48181787;2017-01-08;"4 - Soir";"7 - Dimanche";À emporter;CA;;91
1;11.50000000;10.45454545;2017-01-08;"4 - Soir";"7 - Dimanche";Sur place;CA;;8
5;52.00000000;47.27272728;2017-01-08;"4 - Soir";"7 - Dimanche";Sur place;Conso Perso;;1
0;0;0;2017-01-09;"";"1 - Lundi";"";CA;"";0
6;74.20000000;67.45454547;2017-01-09;"2 - Midi";"1 - Lundi";À emporter;CA;;6
11;163.00000000;148.18181816;2017-01-09;"2 - Midi";"1 - Lundi";Livraison;CA;Deliveroo;1
1;17.00000000;15.45454545;2017-01-09;"2 - Midi";"1 - Lundi";Livraison;CA;Foodora;1
9;182.50000000;165.90909088;2017-01-09;"2 - Midi";"1 - Lundi";Livraison;CA;KM LIVRAISON;3
1;15.50000000;14.09090909;2017-01-09;"2 - Midi";"1 - Lundi";Livraison;CA;UberEats;1
41;587.06000000;532.00454551;2017-01-09;"2 - Midi";"1 - Lundi";Sur place;CA;;27
1;18.00000000;16.36363636;2017-01-09;"3 - Après-midi";"1 - Lundi";Livraison;CA;Foodora;1
2;29.00000000;26.36363636;2017-01-09;"3 - Après-midi";"1 - Lundi";Sur place;CA;;5
8;91.00000000;82.72727274;2017-01-09;"4 - Soir";"1 - Lundi";À emporter;CA;;4
11;174.20000000;158.36363636;2017-01-09;"4 - Soir";"1 - Lundi";Livraison;CA;AlloResto;1
17;282.90000000;257.18181810;2017-01-09;"4 - Soir";"1 - Lundi";Livraison;CA;Deliveroo;1
10;153.90000000;139.90909089;2017-01-09;"4 - Soir";"1 - Lundi";Livraison;CA;Foodora;1
15;238.76000000;217.05454544;2017-01-09;"4 - Soir";"1 - Lundi";Livraison;CA;KM LIVRAISON;1
14;219.50000000;199.54545454;2017-01-09;"4 - Soir";"1 - Lundi";Livraison;CA;UberEats;1
4;73.50000000;66.20909093;2017-01-09;"4 - Soir";"1 - Lundi";Sur place;CA;;3
5;42.50000000;38.63636365;2017-01-09;"4 - Soir";"1 - Lundi";Sur place;Conso Perso;;1
0;0;0;2017-01-10;"";"2 - Mardi";"";CA;"";0
5;75.00000000;68.18181819;2017-01-10;"2 - Midi";"2 - Mardi";À emporter;CA;;5
5;73.40000000;66.72727274;2017-01-10;"2 - Midi";"2 - Mardi";Livraison;CA;Deliveroo;1
1;15.50000000;14.09090909;2017-01-10;"2 - Midi";"2 - Mardi";Livraison;CA;Foodora;1
3;44.50000000;40.45454545;2017-01-10;"2 - Midi";"2 - Mardi";Livraison;CA;UberEats;1
35;516.40000000;467.85075759;2017-01-10;"2 - Midi";"2 - Mardi";Sur place;CA;;28
1;12.50000000;11.36363636;2017-01-10;"3 - Après-midi";"2 - Mardi";À emporter;CA;;1
1;15.00000000;13.34924242;2017-01-10;"3 - Après-midi";"2 - Mardi";Sur place;CA;;1
21;292.67000000;266.06363634;2017-01-10;"4 - Soir";"2 - Mardi";À emporter;CA;;12
11;155.00000000;140.90909086;2017-01-10;"4 - Soir";"2 - Mardi";Livraison;CA;AlloResto;1
23;386.20000000;350.79545451;2017-01-10;"4 - Soir";"2 - Mardi";Livraison;CA;Deliveroo;1
20;311.30000000;282.99999998;2017-01-10;"4 - Soir";"2 - Mardi";Livraison;CA;Foodora;1
32;471.14000000;427.98030299;2017-01-10;"4 - Soir";"2 - Mardi";Livraison;CA;KM LIVRAISON;1
32;446.70000000;405.78636360;2017-01-10;"4 - Soir";"2 - Mardi";Sur place;CA;;23
10;100.00000000;90.90909091;2017-01-10;"4 - Soir";"2 - Mardi";Sur place;Conso Perso;;1
0;0;0;2017-01-11;"";"3 - Mercredi";"";CA;"";0
1;15.50000000;14.09090909;2017-01-11;"1 - Matin";"3 - Mercredi";Sur place;CA;;1
10;150.00000000;136.36363636;2017-01-11;"2 - Midi";"3 - Mercredi";À emporter;CA;;1
5;75.80000000;68.90909092;2017-01-11;"2 - Midi";"3 - Mercredi";À emporter;CA;;4
1;18.00000000;16.36363636;2017-01-11;"2 - Midi";"3 - Mercredi";Livraison;CA;AlloResto;1
4;67.00000000;60.90909090;2017-01-11;"2 - Midi";"3 - Mercredi";Livraison;CA;Deliveroo;1
8;101.50000000;92.27272725;2017-01-11;"2 - Midi";"3 - Mercredi";Livraison;CA;Foodora;1
2;27.50000000;24.99999999;2017-01-11;"2 - Midi";"3 - Mercredi";Livraison;CA;KM LIVRAISON;1
2;32.50000000;29.54545454;2017-01-11;"2 - Midi";"3 - Mercredi";Livraison;CA;UberEats;1
9;119.80000000;109.13636366;2017-01-11;"2 - Midi";"3 - Mercredi";Sur place;CA;;10
56;748.44000000;679.44924244;2017-01-11;"2 - Midi";"3 - Mercredi";Sur place;CA;;52
5;52.50000000;47.72727273;2017-01-11;"2 - Midi";"3 - Mercredi";Sur place;Conso Perso;;1
4;64.00000000;56.89393940;2017-01-11;"3 - Après-midi";"3 - Mercredi";Sur place;CA;;3
10;145.50000000;132.27272727;2017-01-11;"4 - Soir";"3 - Mercredi";À emporter;CA;;6
3;49.00000000;44.54545454;2017-01-11;"4 - Soir";"3 - Mercredi";Livraison;CA;AlloResto;1
26;396.10000000;360.09090911;2017-01-11;"4 - Soir";"3 - Mercredi";Livraison;CA;Deliveroo;1
14;190.00000000;172.72727271;2017-01-11;"4 - Soir";"3 - Mercredi";Livraison;CA;Foodora;1
17;231.85000000;210.77272725;2017-01-11;"4 - Soir";"3 - Mercredi";Livraison;CA;KM LIVRAISON;1
21;346.70000000;314.88636359;2017-01-11;"4 - Soir";"3 - Mercredi";Livraison;CA;UberEats;1
11;175.00000000;156.86363635;2017-01-11;"4 - Soir";"3 - Mercredi";Sur place;CA;;8
7;61.40000000;55.81818183;2017-01-11;"4 - Soir";"3 - Mercredi";Sur place;Conso Perso;;2
0;0;0;2017-01-12;"";"4 - Jeudi";"";CA;"";0
0;4.50000000;4.09090908;2017-01-12;"1 - Matin";"4 - Jeudi";Sur place;CA;;1
16;218.15000000;198.31818185;2017-01-12;"2 - Midi";"4 - Jeudi";À emporter;CA;;14
75;1078.03000000;977.49621219;2017-01-12;"2 - Midi";"4 - Jeudi";Sur place;CA;;70
2;35.50000000;32.27272727;2017-01-12;"3 - Après-midi";"4 - Jeudi";À emporter;CA;;1
5;80.00000000;71.36363636;2017-01-12;"3 - Après-midi";"4 - Jeudi";Livraison;CA;Foodora;1
1;22.00000000;19.99999999;2017-01-12;"3 - Après-midi";"4 - Jeudi";Livraison;CA;KM LIVRAISON;1
2;31.00000000;28.18181818;2017-01-12;"3 - Après-midi";"4 - Jeudi";Livraison;CA;UberEats;1
4;60.90000000;55.36363636;2017-01-12;"3 - Après-midi";"4 - Jeudi";Sur place;CA;;4
8;132.50000000;120.45454546;2017-01-12;"4 - Soir";"4 - Jeudi";À emporter;CA;;8
17;241.40000000;219.45454542;2017-01-12;"4 - Soir";"4 - Jeudi";Livraison;CA;AlloResto;1
17;276.40000000;250.60909091;2017-01-12;"4 - Soir";"4 - Jeudi";Livraison;CA;Deliveroo;1
15;231.00000000;210.00000001;2017-01-12;"4 - Soir";"4 - Jeudi";Livraison;CA;Foodora;1
24;334.16000000;303.44242418;2017-01-12;"4 - Soir";"4 - Jeudi";Livraison;CA;KM LIVRAISON;1
29;435.50000000;395.90909089;2017-01-12;"4 - Soir";"4 - Jeudi";Livraison;CA;UberEats;1
22;316.50000000;285.75000001;2017-01-12;"4 - Soir";"4 - Jeudi";Sur place;CA;;17
7;52.50000000;47.72727273;2017-01-12;"4 - Soir";"4 - Jeudi";Sur place;Conso Perso;;1
0;0;0;2017-01-13;"";"5 - Vendredi";"";CA;"";0
20;279.20000000;253.81818184;2017-01-13;"2 - Midi";"5 - Vendredi";À emporter;CA;;15
3;46.50000000;42.27272727;2017-01-13;"2 - Midi";"5 - Vendredi";Livraison;CA;AlloResto;1
3;51.50000000;46.81818181;2017-01-13;"2 - Midi";"5 - Vendredi";Livraison;CA;Deliveroo;1
9;139.50000000;126.81818181;2017-01-13;"2 - Midi";"5 - Vendredi";Livraison;CA;Foodora;1
11;137.88000000;125.34545454;2017-01-13;"2 - Midi";"5 - Vendredi";Livraison;CA;KM LIVRAISON;1
11;156.50000000;142.27272729;2017-01-13;"2 - Midi";"5 - Vendredi";Livraison;CA;UberEats;1
83;1174.75000000;1064.55000004;2017-01-13;"2 - Midi";"5 - Vendredi";Sur place;CA;;77
1;12.50000000;11.36363636;2017-01-13;"3 - Après-midi";"5 - Vendredi";Sur place;CA;;1
19;221.10000000;201.00000004;2017-01-13;"4 - Soir";"5 - Vendredi";À emporter;CA;;12
20;278.40000000;253.09090907;2017-01-13;"4 - Soir";"5 - Vendredi";Livraison;CA;AlloResto;1
24;343.40000000;312.18181815;2017-01-13;"4 - Soir";"5 - Vendredi";Livraison;CA;Deliveroo;1
35;524.00000000;476.36363631;2017-01-13;"4 - Soir";"5 - Vendredi";Livraison;CA;Foodora;1
64;886.60000000;805.99999984;2017-01-13;"4 - Soir";"5 - Vendredi";Livraison;CA;KM LIVRAISON;1
24;366.30000000;332.99999997;2017-01-13;"4 - Soir";"5 - Vendredi";Livraison;CA;UberEats;2
21;313.40000000;282.55303032;2017-01-13;"4 - Soir";"5 - Vendredi";Sur place;CA;;20
13;114.50000000;104.09090911;2017-01-13;"4 - Soir";"5 - Vendredi";Sur place;Conso Perso;;1
0;0;0;2017-01-14;"";"6 - Samedi";"";CA;"";0
11;132.20000000;120.18181820;2017-01-14;"2 - Midi";"6 - Samedi";À emporter;CA;;5
97;1390.50000000;1261.73863632;2017-01-14;"2 - Midi";"6 - Samedi";Sur place;CA;;58
4;50.00000000;45.45454547;2017-01-14;"3 - Après-midi";"6 - Samedi";À emporter;CA;;3
10;166.00000000;150.90909089;2017-01-14;"3 - Après-midi";"6 - Samedi";Livraison;CA;Deliveroo;1
10;151.80000000;137.99999999;2017-01-14;"3 - Après-midi";"6 - Samedi";Livraison;CA;Foodora;1
21;296.33000000;268.73787878;2017-01-14;"3 - Après-midi";"6 - Samedi";Livraison;CA;KM LIVRAISON;1
14;224.90000000;204.45454544;2017-01-14;"3 - Après-midi";"6 - Samedi";Livraison;CA;UberEats;1
17;257.25000000;231.76818183;2017-01-14;"3 - Après-midi";"6 - Samedi";Sur place;CA;;20
13;174.85000000;158.95454546;2017-01-14;"4 - Soir";"6 - Samedi";À emporter;CA;;10
12;163.20000000;148.36363637;2017-01-14;"4 - Soir";"6 - Samedi";Livraison;CA;AlloResto;2
28;421.50000000;383.18181812;2017-01-14;"4 - Soir";"6 - Samedi";Livraison;CA;Deliveroo;1
24;344.00000000;312.72727269;2017-01-14;"4 - Soir";"6 - Samedi";Livraison;CA;Foodora;1
35;532.19000000;483.16060602;2017-01-14;"4 - Soir";"6 - Samedi";Livraison;CA;KM LIVRAISON;1
16;269.00000000;244.54545454;2017-01-14;"4 - Soir";"6 - Samedi";Livraison;CA;UberEats;1
66;995.90000000;897.53484860;2017-01-14;"4 - Soir";"6 - Samedi";Sur place;CA;;31
12;117.00000000;106.36363638;2017-01-14;"4 - Soir";"6 - Samedi";Sur place;Conso Perso;;1
10;146.00000000;132.72727274;2017-01-15;"3 - Après-midi";"7 - Dimanche";Sur place;CA;;10
23;314.50000000;285.90909095;2017-01-15;"4 - Soir";"7 - Dimanche";À emporter;CA;;13
16;252.50000000;229.54545452;2017-01-15;"4 - Soir";"7 - Dimanche";Livraison;CA;AlloResto;1
28;456.70000000;415.18181812;2017-01-15;"4 - Soir";"7 - Dimanche";Livraison;CA;Deliveroo;1
32;470.00000000;427.27272724;2017-01-15;"4 - Soir";"7 - Dimanche";Livraison;CA;Foodora;1
46;678.86000000;617.14545442;2017-01-15;"4 - Soir";"7 - Dimanche";Livraison;CA;KM LIVRAISON;1
28;418.00000000;379.99999997;2017-01-15;"4 - Soir";"7 - Dimanche";Livraison;CA;UberEats;1
4;57.90000000;52.01818182;2017-01-15;"4 - Soir";"7 - Dimanche";Sur place;CA;;3
6;51.00000000;46.36363636;2017-01-15;"4 - Soir";"7 - Dimanche";Sur place;Conso Perso;;1
0;0;0;2017-01-16;"";"1 - Lundi";"";CA;"";0
16;194.50000000;176.81818183;2017-01-16;"2 - Midi";"1 - Lundi";À emporter;CA;;13
6;98.00000000;89.09090908;2017-01-16;"2 - Midi";"1 - Lundi";Livraison;CA;AlloResto;1
5;82.00000000;74.54545454;2017-01-16;"2 - Midi";"1 - Lundi";Livraison;CA;Foodora;1
2;34.00000000;30.90909091;2017-01-16;"2 - Midi";"1 - Lundi";Livraison;CA;UberEats;1
58;837.96000000;761.16818189;2017-01-16;"2 - Midi";"1 - Lundi";Sur place;CA;;43
5;76.50000000;69.54545455;2017-01-16;"3 - Après-midi";"1 - Lundi";Livraison;CA;Deliveroo;1
2;31.00000000;28.18181818;2017-01-16;"3 - Après-midi";"1 - Lundi";Sur place;CA;;1
5;68.50000000;62.27272726;2017-01-16;"4 - Soir";"1 - Lundi";À emporter;CA;;2
2;30.40000000;27.63636364;2017-01-16;"4 - Soir";"1 - Lundi";Livraison;CA;AlloResto;3
12;186.40000000;169.45454543;2017-01-16;"4 - Soir";"1 - Lundi";Livraison;CA;Deliveroo;1
3;48.50000000;44.09090909;2017-01-16;"4 - Soir";"1 - Lundi";Livraison;CA;Foodora;1
9;166.36000000;151.23636362;2017-01-16;"4 - Soir";"1 - Lundi";Livraison;CA;KM LIVRAISON;1
11;177.00000000;160.90909087;2017-01-16;"4 - Soir";"1 - Lundi";Livraison;CA;UberEats;1
2;33.50000000;30.45454545;2017-01-16;"4 - Soir";"1 - Lundi";Sur place;CA;;3
4;32.00000000;29.09090910;2017-01-16;"4 - Soir";"1 - Lundi";Sur place;Conso Perso;;1
0;0;0;2017-01-17;"";"2 - Mardi";"";CA;"";0
10;140.00000000;127.27272730;2017-01-17;"2 - Midi";"2 - Mardi";À emporter;CA;;10
3;43.00000000;39.09090910;2017-01-17;"2 - Midi";"2 - Mardi";Livraison;CA;Deliveroo;1
1;15.50000000;14.09090909;2017-01-17;"2 - Midi";"2 - Mardi";Livraison;CA;Foodora;1
18;262.20000000;238.36363635;2017-01-17;"2 - Midi";"2 - Mardi";Livraison;CA;UberEats;2
51;776.90000000;702.09469699;2017-01-17;"2 - Midi";"2 - Mardi";Sur place;CA;;50
1;12.50000000;11.36363637;2017-01-17;"3 - Après-midi";"2 - Mardi";À emporter;CA;;1
12;157.40000000;143.09090907;2017-01-17;"4 - Soir";"2 - Mardi";À emporter;CA;;8
3;59.00000000;52.27272727;2017-01-17;"4 - Soir";"2 - Mardi";Livraison;CA;AlloResto;1
19;296.00000000;269.09090907;2017-01-17;"4 - Soir";"2 - Mardi";Livraison;CA;Deliveroo;1
14;208.50000000;189.54545451;2017-01-17;"4 - Soir";"2 - Mardi";Livraison;CA;Foodora;1
34;454.05000000;411.50909087;2017-01-17;"4 - Soir";"2 - Mardi";Livraison;CA;KM LIVRAISON;1
19;302.00000000;274.54545452;2017-01-17;"4 - Soir";"2 - Mardi";Livraison;CA;UberEats;1
21;299.90000000;270.47272728;2017-01-17;"4 - Soir";"2 - Mardi";Sur place;CA;;18
12;103.00000000;93.63636365;2017-01-17;"4 - Soir";"2 - Mardi";Sur place;Conso Perso;;1
0;0;0;2017-01-18;"";"3 - Mercredi";"";CA;"";0
19;248.20000000;225.63636367;2017-01-18;"2 - Midi";"3 - Mercredi";À emporter;CA;;11
7;93.50000000;84.99999999;2017-01-18;"2 - Midi";"3 - Mercredi";Livraison;CA;Deliveroo;1
5;83.00000000;75.45454544;2017-01-18;"2 - Midi";"3 - Mercredi";Livraison;CA;Foodora;1
9;98.15000000;89.22727274;2017-01-18;"2 - Midi";"3 - Mercredi";Livraison;CA;KM LIVRAISON;1
6;91.50000000;83.18181817;2017-01-18;"2 - Midi";"3 - Mercredi";Livraison;CA;UberEats;1
59;833.88000000;756.97045462;2017-01-18;"2 - Midi";"3 - Mercredi";Sur place;CA;;49
2;22.50000000;20.14545454;2017-01-18;"3 - Après-midi";"3 - Mercredi";Sur place;CA;;1
15;216.40000000;196.72727272;2017-01-18;"4 - Soir";"3 - Mercredi";À emporter;CA;;6
13;183.30000000;166.63636362;2017-01-18;"4 - Soir";"3 - Mercredi";Livraison;CA;AlloResto;1
19;287.50000000;261.03939394;2017-01-18;"4 - Soir";"3 - Mercredi";Livraison;CA;Deliveroo;1
26;423.40000000;384.90909085;2017-01-18;"4 - Soir";"3 - Mercredi";Livraison;CA;Foodora;1
17;230.46000000;208.86515151;2017-01-18;"4 - Soir";"3 - Mercredi";Livraison;CA;KM LIVRAISON;1
12;181.70000000;165.18181818;2017-01-18;"4 - Soir";"3 - Mercredi";Livraison;CA;UberEats;1
12;177.30000000;160.87727275;2017-01-18;"4 - Soir";"3 - Mercredi";Sur place;CA;;10
11;87.50000000;79.54545457;2017-01-18;"4 - Soir";"3 - Mercredi";Sur place;Conso Perso;;1
0;0;0;2017-01-19;"";"4 - Jeudi";"";CA;"";0
10;157.00000000;142.72727276;2017-01-19;"2 - Midi";"4 - Jeudi";À emporter;CA;;9
2;28.50000000;25.90909091;2017-01-19;"2 - Midi";"4 - Jeudi";Livraison;CA;AlloResto;1
3;45.00000000;40.90909091;2017-01-19;"2 - Midi";"4 - Jeudi";Livraison;CA;Deliveroo;1
5;81.00000000;73.63636363;2017-01-19;"2 - Midi";"4 - Jeudi";Livraison;CA;Foodora;1
2;35.40000000;32.18181818;2017-01-19;"2 - Midi";"4 - Jeudi";Livraison;CA;KM LIVRAISON;1
4;56.00000000;50.90909090;2017-01-19;"2 - Midi";"4 - Jeudi";Livraison;CA;UberEats;1
64;954.50000000;864.82803032;2017-01-19;"2 - Midi";"4 - Jeudi";Sur place;CA;;61
5;42.50000000;38.63636364;2017-01-19;"2 - Midi";"4 - Jeudi";Sur place;Conso Perso;;1
4;50.00000000;45.45454545;2017-01-19;"4 - Soir";"4 - Jeudi";À emporter;CA;;2
9;133.50000000;121.36363636;2017-01-19;"4 - Soir";"4 - Jeudi";À emporter;CA;;5
12;151.23000000;137.48181819;2017-01-19;"4 - Soir";"4 - Jeudi";À emporter;CA;;11
7;110.90000000;100.81818181;2017-01-19;"4 - Soir";"4 - Jeudi";Livraison;CA;AlloResto;1
